objectid,filename,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,image_alt_text,object_transcript
,ISU Campus and Its Buildings - Land.pdf,ISU Campus and Its Buildings - Land,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Main-Memorial Union.pdf,ISU Campus and Its Buildings - Main-Memorial Union,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Maps.pdf,ISU Campus and Its Buildings - Maps,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Metallurgy-Pearson.pdf,ISU Campus and Its Buildings - Metallurgy-Pearson,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Minor Buildings.pdf,ISU Campus and Its Buildings - Minor Buildings,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Miscellaneous.pdf,ISU Campus and Its Buildings - Miscellaneous,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Physical Education-Soil Laboratory.pdf,ISU Campus and Its Buildings - Physical Education-Soil Laboratory,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - South Hall - Workshop.pdf,ISU Campus and Its Buildings - South Hall - Workshop,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Special Areas.pdf,ISU Campus and Its Buildings - Special Areas,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Transportation.pdf,ISU Campus and Its Buildings - Transportation,,,,,,,,,,,,,,,,,,,,
,ISU Campus and Its Buildings - Utilities.pdf,ISU Campus and Its Buildings - Utilities,,,,,,,,,,,,,,,,,,,,
,isuiq.jpg,Test your ISU IQ,,,,,,,,,,,,,,,,,,,,
,Jischke-1993.jpg,Martin Jischke,,,,,,,,,,,,,,,,,,,,
,Jischke.mp3,Martin Jischke oral history,,,,,,,,,,,,,,,,,,,,
,Knapp.jpg,Seaman A. Knapp,,,,,,,,,,,,,,,,,,,,
,Lagomarcino1.mp3,Virgil Lagomarcino oral history,,,,,,,,,,,,,,,,,,,,
,Map1868lg.jpg,"Map of Iowa State, 1868",,,,,,,,,,,,,,,,,,,,
,Map1875.pdf,Iowa State campus map 1875,,,,,,,,,,,,,,,,,,,,
,map1883lg.jpg,"Map of Iowa State, 1883",,,,,,,,,,,,,,,,,,,,
,map1891lg.jpg,"Map of Iowa State, 1891",,,,,,,,,,,,,,,,,,,,
,Map1898.pdf,Iowa State campus map 1898,,,,,,,,,,,,,,,,,,,,
,Margaret-Sloss-1960.jpg,Margaret Sloss,,,,,,,,,,,,,,,,,,,,
,Marston-Anson-1892.jpg,Anson Marston,,,,,,,,,,,,,,,,,,,,
,Marston-cottage.jpg,"Marston Cottage, n.d.",,,,,,,,,,,,,,,,,,,,
,Moore2.mp3,Wayne Moore oral history,,,,,,,,,,,,,,,,,,,,
,Nelson.jpg,Precious Mabel Nelson,,,,,,,,,,,,,,,,,,,,
,Old-Chemistry-Hall.jpg,"Chemical Laboratory, n.d.",,,,,,,,,,,,,,,,,,,,
,Old-Main.jpg,"Old Main, n.d.",,,,,,,,,,,,,,,,,,,,
,old-music.jpg,"Music Hall, 1923",,,,,,,,,,,,,,,,,,,,
,oldmain-women.jpg,"Women studying in Old Main, n.d.",,,,,,,,,,,,,,,,,,,,
,osborn.jpg,Herbert Osborn,,,,,,,,,,,,,,,,,,,,
,osborncottage-1926.jpg,Osborn Cottage,,,,,,,,,,,,,,,,,,,,
,P-H-Elwood.jpg,Philip Homer Elwood,,,,,,,,,,,,,,,,,,,,
,Packer-1964.jpg,Raymond Allen Packer,,,,,,,,,,,,,,,,,,,,
,Pammel-Louis-gatheing-plant.jpg,Louis H. Pammel,,,,,,,,,,,,,,,,,,,,
